trade_date_str,trade_time,open,close,volume,high,low,amount,change,change_pct,turnover_ratio,pre_close,stock_code,trade_date
2023-02-13,2023-02-13 00:00:00,6.43,6.45,5467668.0,6.46,6.4,39847221.0,0.03,0.47,0.44,6.42,000685,2023-02-13
2023-02-14,2023-02-14 00:00:00,6.49,6.44,3862500.0,6.49,6.4,28155408.0,-0.01,-0.16,0.31,6.45,000685,2023-02-14
2023-02-15,2023-02-15 00:00:00,6.42,6.4,3939735.0,6.45,6.38,28580464.0,-0.04,-0.62,0.31,6.44,000685,2023-02-15
2023-02-16,2023-02-16 00:00:00,6.41,6.34,8746771.0,6.46,6.3,63408434.0,-0.06,-0.94,0.7,6.4,000685,2023-02-16
2023-02-17,2023-02-17 00:00:00,6.36,6.34,4235913.0,6.39,6.33,30503548.0,0.0,0.0,0.34,6.34,000685,2023-02-17
2023-02-20,2023-02-20 00:00:00,6.35,6.42,6254534.0,6.44,6.34,45303578.0,0.08,1.26,0.5,6.34,000685,2023-02-20
2023-02-21,2023-02-21 00:00:00,6.43,6.42,5200217.0,6.46,6.39,37832627.0,0.0,0.0,0.41,6.42,000685,2023-02-21
2023-02-22,2023-02-22 00:00:00,6.41,6.42,4235500.0,6.45,6.4,30818815.0,0.0,0.0,0.34,6.42,000685,2023-02-22
2023-02-23,2023-02-23 00:00:00,6.45,6.47,7636443.0,6.51,6.44,55925721.0,0.05,0.78,0.61,6.42,000685,2023-02-23
2023-02-24,2023-02-24 00:00:00,6.46,6.44,3928702.0,6.49,6.43,28716412.0,-0.03,-0.46,0.31,6.47,000685,2023-02-24
2023-02-27,2023-02-27 00:00:00,6.45,6.4,3748182.0,6.46,6.37,27234056.0,-0.04,-0.62,0.3,6.44,000685,2023-02-27
2023-02-28,2023-02-28 00:00:00,6.42,6.45,3469619.0,6.46,6.39,25271329.0,0.05,0.78,0.28,6.4,000685,2023-02-28
2023-03-01,2023-03-01 00:00:00,6.45,6.46,6851672.0,6.47,6.42,50005767.0,0.01,0.16,0.55,6.45,000685,2023-03-01
2023-03-02,2023-03-02 00:00:00,6.46,6.5,9644600.0,6.5,6.43,70603973.0,0.04,0.62,0.77,6.46,000685,2023-03-02
2023-03-03,2023-03-03 00:00:00,6.5,6.48,5930180.0,6.51,6.46,43476029.0,-0.02,-0.31,0.47,6.5,000685,2023-03-03
2023-03-06,2023-03-06 00:00:00,6.52,6.49,5954549.0,6.53,6.48,43757152.0,0.01,0.15,0.48,6.48,000685,2023-03-06
2023-03-07,2023-03-07 00:00:00,6.53,6.41,7539501.0,6.55,6.41,55294575.0,-0.08,-1.23,0.6,6.49,000685,2023-03-07
2023-03-08,2023-03-08 00:00:00,6.4,6.39,4551284.0,6.42,6.36,32954046.0,-0.02,-0.31,0.36,6.41,000685,2023-03-08
2023-03-09,2023-03-09 00:00:00,6.42,6.42,3588178.0,6.45,6.37,26064690.0,0.03,0.47,0.29,6.39,000685,2023-03-09
2023-03-10,2023-03-10 00:00:00,6.4,6.33,5693500.0,6.41,6.32,41050683.0,-0.09,-1.4,0.45,6.42,000685,2023-03-10
2023-03-13,2023-03-13 00:00:00,6.32,6.32,4263988.0,6.36,6.28,30536524.0,-0.01,-0.16,0.34,6.33,000685,2023-03-13
2023-03-14,2023-03-14 00:00:00,6.31,6.39,11524044.0,6.41,6.3,83290212.0,0.07,1.11,0.92,6.32,000685,2023-03-14
2023-03-15,2023-03-15 00:00:00,6.4,6.4,5221338.0,6.43,6.37,37833292.0,0.01,0.16,0.42,6.39,000685,2023-03-15
2023-03-16,2023-03-16 00:00:00,6.38,6.35,7216900.0,6.45,6.33,52290599.0,-0.05,-0.78,0.58,6.4,000685,2023-03-16
2023-03-17,2023-03-17 00:00:00,6.38,6.36,7097700.0,6.42,6.33,51320808.0,0.01,0.16,0.57,6.35,000685,2023-03-17
2023-03-20,2023-03-20 00:00:00,6.37,6.31,9363411.0,6.4,6.29,67281257.0,-0.05,-0.79,0.75,6.36,000685,2023-03-20
