trade_date_str,trade_time,open,close,volume,high,low,amount,change,change_pct,turnover_ratio,pre_close,stock_code,trade_date
2023-02-13,2023-02-13 00:00:00,12.96,13.62,12088463.0,13.67,12.82,205850580.0,0.66,5.09,0.91,12.96,603866,2023-02-13
2023-02-14,2023-02-14 00:00:00,13.62,13.48,9653739.0,13.65,13.21,164494178.0,-0.14,-1.03,0.72,13.62,603866,2023-02-14
2023-02-15,2023-02-15 00:00:00,13.49,12.95,8949130.0,13.55,12.86,148398841.0,-0.53,-3.93,0.67,13.48,603866,2023-02-15
2023-02-16,2023-02-16 00:00:00,12.9,12.53,8129464.0,12.99,12.41,131546406.0,-0.42,-3.24,0.61,12.95,603866,2023-02-16
2023-02-17,2023-02-17 00:00:00,12.47,12.67,9652603.0,13.01,12.45,156522931.0,0.14,1.12,0.72,12.53,603866,2023-02-17
2023-02-20,2023-02-20 00:00:00,12.44,12.64,12271449.0,12.85,12.19,195218996.0,-0.03,-0.24,0.92,12.67,603866,2023-02-20
2023-02-21,2023-02-21 00:00:00,12.62,12.47,13147504.0,12.74,12.29,208128094.0,-0.17,-1.34,0.99,12.64,603866,2023-02-21
2023-02-22,2023-02-22 00:00:00,12.47,13.08,16927598.0,13.26,12.4,278342555.0,0.61,4.89,1.27,12.47,603866,2023-02-22
2023-02-23,2023-02-23 00:00:00,13.05,13.53,21258303.0,13.97,12.95,365457230.0,0.45,3.44,1.59,13.08,603866,2023-02-23
2023-02-24,2023-02-24 00:00:00,13.51,13.63,9760522.0,13.76,13.39,167958284.0,0.1,0.74,0.73,13.53,603866,2023-02-24
2023-02-27,2023-02-27 00:00:00,13.65,14.05,18159287.0,14.05,13.41,318672527.0,0.42,3.08,1.36,13.63,603866,2023-02-27
2023-02-28,2023-02-28 00:00:00,14.12,13.92,9171017.0,14.21,13.78,162086115.0,-0.13,-0.93,0.69,14.05,603866,2023-02-28
2023-03-01,2023-03-01 00:00:00,14.0,13.94,6483887.0,14.02,13.74,113837284.0,0.02,0.14,0.49,13.92,603866,2023-03-01
2023-03-02,2023-03-02 00:00:00,13.94,14.25,9453745.0,14.35,13.83,169848316.0,0.31,2.22,0.71,13.94,603866,2023-03-02
2023-03-03,2023-03-03 00:00:00,14.22,14.01,5664620.0,14.3,13.87,100310702.0,-0.24,-1.68,0.42,14.25,603866,2023-03-03
2023-03-06,2023-03-06 00:00:00,14.03,13.75,7418322.0,14.09,13.67,129856586.0,-0.26,-1.86,0.56,14.01,603866,2023-03-06
2023-03-07,2023-03-07 00:00:00,13.75,13.47,4607574.0,13.82,13.4,79067599.0,-0.28,-2.04,0.35,13.75,603866,2023-03-07
2023-03-08,2023-03-08 00:00:00,13.38,13.21,5993545.0,13.4,12.85,100057662.0,-0.26,-1.93,0.45,13.47,603866,2023-03-08
2023-03-09,2023-03-09 00:00:00,13.21,13.04,4378036.0,13.22,12.9,72406630.0,-0.17,-1.29,0.33,13.21,603866,2023-03-09
2023-03-10,2023-03-10 00:00:00,12.91,12.96,3485834.0,13.1,12.86,57433901.0,-0.08,-0.61,0.26,13.04,603866,2023-03-10
2023-03-13,2023-03-13 00:00:00,12.85,13.17,4500257.0,13.18,12.85,74717375.0,0.21,1.62,0.34,12.96,603866,2023-03-13
2023-03-14,2023-03-14 00:00:00,13.08,12.8,7760768.0,13.18,12.68,126553266.0,-0.37,-2.81,0.58,13.17,603866,2023-03-14
2023-03-15,2023-03-15 00:00:00,12.88,12.72,3958684.0,13.1,12.7,64645614.0,-0.08,-0.63,0.3,12.8,603866,2023-03-15
2023-03-16,2023-03-16 00:00:00,12.67,12.65,4382403.0,12.84,12.5,70762706.0,-0.07,-0.55,0.33,12.72,603866,2023-03-16
2023-03-17,2023-03-17 00:00:00,12.72,12.47,4886835.0,12.75,12.47,78187015.0,-0.18,-1.42,0.37,12.65,603866,2023-03-17
2023-03-20,2023-03-20 00:00:00,12.47,12.03,7981692.0,12.65,11.99,123416952.0,-0.44,-3.53,0.6,12.47,603866,2023-03-20
2023-03-21,2023-03-21 00:00:00,12.05,12.36,5815079.0,12.36,12.04,90598140.0,0.33,2.74,0.44,12.03,603866,2023-03-21
2023-03-22,2023-03-22 00:00:00,12.36,12.21,6106574.0,12.55,12.1,95538105.0,-0.15,-1.21,0.46,12.36,603866,2023-03-22
2023-03-23,2023-03-23 00:00:00,12.27,12.13,6340763.0,12.47,12.04,98449693.0,-0.08,-0.66,0.48,12.21,603866,2023-03-23
2023-03-24,2023-03-24 00:00:00,12.13,11.95,5911620.0,12.31,11.9,91129625.0,-0.18,-1.48,0.44,12.13,603866,2023-03-24
2023-03-27,2023-03-27 00:00:00,11.95,11.87,5197682.0,12.07,11.79,78818920.0,-0.08,-0.67,0.39,11.95,603866,2023-03-27
2023-03-28,2023-03-28 00:00:00,11.87,11.95,4093760.0,12.06,11.79,62332405.0,0.08,0.67,0.31,11.87,603866,2023-03-28
2023-03-29,2023-03-29 00:00:00,11.99,11.85,4774217.0,12.07,11.79,72303425.0,-0.1,-0.84,0.36,11.95,603866,2023-03-29
2023-03-30,2023-03-30 00:00:00,11.87,12.11,7053105.0,12.13,11.75,107668521.0,0.26,2.19,0.53,11.85,603866,2023-03-30
2023-03-31,2023-03-31 00:00:00,12.12,12.21,5522080.0,12.29,12.1,85815312.0,0.1,0.83,0.41,12.11,603866,2023-03-31
2023-04-03,2023-04-03 00:00:00,12.13,12.54,7235485.0,12.7,12.12,115477402.0,0.33,2.7,0.54,12.21,603866,2023-04-03
2023-04-04,2023-04-04 00:00:00,12.53,12.33,5038716.0,12.6,12.18,79092652.0,-0.21,-1.67,0.38,12.54,603866,2023-04-04
