trade_date_str,trade_time,open,close,volume,high,low,amount,change,change_pct,turnover_ratio,pre_close,stock_code,trade_date
2023-02-13,2023-02-13 00:00:00,91.25,94.26,1999361.0,95.42,90.39,193170528.0,3.0,3.29,2.18,91.26,300841,2023-02-13
2023-02-14,2023-02-14 00:00:00,94.26,92.95,1472805.0,95.14,92.76,142861137.0,-1.31,-1.39,1.61,94.26,300841,2023-02-14
2023-02-15,2023-02-15 00:00:00,92.95,98.28,2988510.0,99.56,92.89,300294824.0,5.33,5.73,3.26,92.95,300841,2023-02-15
2023-02-16,2023-02-16 00:00:00,98.28,95.99,1876463.0,99.28,95.81,190053930.0,-2.29,-2.33,2.05,98.28,300841,2023-02-16
2023-02-17,2023-02-17 00:00:00,96.64,93.64,1408961.0,96.64,93.54,138466445.0,-2.35,-2.45,1.54,95.99,300841,2023-02-17
2023-02-20,2023-02-20 00:00:00,94.16,93.66,1277073.0,94.71,91.36,122993215.0,0.02,0.02,1.39,93.64,300841,2023-02-20
2023-02-21,2023-02-21 00:00:00,93.66,92.8,1240753.0,93.9,91.99,119289888.0,-0.86,-0.92,1.35,93.66,300841,2023-02-21
2023-02-22,2023-02-22 00:00:00,92.56,92.86,1038481.0,94.94,92.1,100555534.0,0.06,0.06,1.13,92.8,300841,2023-02-22
2023-02-23,2023-02-23 00:00:00,92.56,91.67,784691.0,94.32,91.41,75268667.0,-1.19,-1.28,0.86,92.86,300841,2023-02-23
2023-02-24,2023-02-24 00:00:00,91.65,93.26,1090238.0,93.36,90.66,104240417.0,1.59,1.73,1.19,91.67,300841,2023-02-24
2023-02-27,2023-02-27 00:00:00,92.96,91.82,890770.0,93.56,91.22,85056187.0,-1.44,-1.54,0.97,93.26,300841,2023-02-27
2023-02-28,2023-02-28 00:00:00,92.39,92.44,778622.0,93.91,91.17,74416648.0,0.62,0.68,0.85,91.82,300841,2023-02-28
2023-03-01,2023-03-01 00:00:00,94.92,95.86,2004911.0,97.55,93.79,198650136.0,3.42,3.7,2.19,92.44,300841,2023-03-01
2023-03-02,2023-03-02 00:00:00,95.56,93.31,1324171.0,95.85,93.07,128993959.0,-2.55,-2.66,1.45,95.86,300841,2023-03-02
2023-03-03,2023-03-03 00:00:00,93.51,94.37,932106.0,95.55,92.68,90931287.0,1.06,1.14,1.02,93.31,300841,2023-03-03
2023-03-06,2023-03-06 00:00:00,93.81,93.93,1134043.0,94.37,92.09,109384838.0,-0.44,-0.47,1.24,94.37,300841,2023-03-06
2023-03-07,2023-03-07 00:00:00,93.65,93.16,879654.0,95.26,92.71,85454044.0,-0.77,-0.82,0.96,93.93,300841,2023-03-07
2023-03-08,2023-03-08 00:00:00,93.01,93.42,1126728.0,93.56,90.86,108002685.0,0.26,0.28,1.23,93.16,300841,2023-03-08
2023-03-09,2023-03-09 00:00:00,93.13,94.6,980329.0,95.14,92.62,95690659.0,1.18,1.26,1.07,93.42,300841,2023-03-09
2023-03-10,2023-03-10 00:00:00,94.05,94.21,1233230.0,96.25,93.19,120656501.0,-0.39,-0.41,1.35,94.6,300841,2023-03-10
2023-03-13,2023-03-13 00:00:00,94.17,93.56,1216201.0,94.54,91.06,116930796.0,-0.65,-0.69,1.33,94.21,300841,2023-03-13
2023-03-14,2023-03-14 00:00:00,93.27,92.73,833439.0,93.89,91.47,80030575.0,-0.83,-0.89,0.91,93.56,300841,2023-03-14
2023-03-15,2023-03-15 00:00:00,92.91,92.42,690622.0,93.8,91.97,66453950.0,-0.31,-0.33,0.75,92.73,300841,2023-03-15
2023-03-16,2023-03-16 00:00:00,91.58,88.43,1504587.0,92.7,88.04,140120719.0,-3.99,-4.32,1.64,92.42,300841,2023-03-16
2023-03-17,2023-03-17 00:00:00,88.51,88.46,1089624.0,89.84,87.75,100362766.0,0.03,0.03,1.19,88.43,300841,2023-03-17
2023-03-20,2023-03-20 00:00:00,88.45,87.31,882641.0,88.56,85.97,80085465.0,-1.15,-1.3,0.96,88.46,300841,2023-03-20
2023-03-21,2023-03-21 00:00:00,86.73,90.56,1066380.0,90.83,86.73,98872926.0,3.25,3.72,1.16,87.31,300841,2023-03-21
2023-03-22,2023-03-22 00:00:00,90.5,91.45,809639.0,92.27,89.79,76467949.0,0.89,0.98,0.88,90.56,300841,2023-03-22
2023-03-23,2023-03-23 00:00:00,91.44,91.06,663087.0,91.57,89.9,62438152.0,-0.39,-0.43,0.72,91.45,300841,2023-03-23
2023-03-24,2023-03-24 00:00:00,91.0,92.35,883960.0,93.87,90.57,85194125.0,1.29,1.42,0.97,91.06,300841,2023-03-24
2023-03-27,2023-03-27 00:00:00,92.35,95.06,1355182.0,96.15,91.56,133077687.0,2.71,2.93,1.48,92.35,300841,2023-03-27
2023-03-28,2023-03-28 00:00:00,94.66,94.13,1367293.0,95.55,92.88,133187432.0,-0.93,-0.98,1.49,95.06,300841,2023-03-28
2023-03-29,2023-03-29 00:00:00,93.51,93.26,973189.0,94.12,92.2,94096098.0,-0.87,-0.92,1.06,94.13,300841,2023-03-29
2023-03-30,2023-03-30 00:00:00,89.15,91.56,2949303.0,93.26,83.84,270366725.0,-1.7,-1.82,3.22,93.26,300841,2023-03-30
2023-03-31,2023-03-31 00:00:00,92.21,89.16,1193372.0,92.22,88.27,111114004.0,-2.4,-2.62,1.3,91.56,300841,2023-03-31
2023-04-03,2023-04-03 00:00:00,89.66,89.8,1219135.0,90.96,87.89,113226653.0,0.64,0.72,1.33,89.16,300841,2023-04-03
2023-04-04,2023-04-04 00:00:00,88.56,90.76,1838301.0,91.24,87.67,171945686.0,0.96,1.07,2.0,89.8,300841,2023-04-04
2023-04-06,2023-04-06 00:00:00,90.57,90.11,763465.0,91.56,89.86,71733373.0,-0.65,-0.72,0.83,90.76,300841,2023-04-06
2023-04-07,2023-04-07 00:00:00,89.61,93.27,1902435.0,95.51,89.56,185140530.0,3.16,3.51,2.07,90.11,300841,2023-04-07
2023-04-10,2023-04-10 00:00:00,92.36,94.2,1990380.0,96.24,92.36,195925070.0,0.93,1.0,2.17,93.27,300841,2023-04-10
2023-04-11,2023-04-11 00:00:00,94.2,93.8,1034252.0,95.42,93.16,101004431.0,-0.4,-0.42,1.13,94.2,300841,2023-04-11
2023-04-12,2023-04-12 00:00:00,93.74,94.43,895775.0,95.1,92.68,87174919.0,0.63,0.67,0.98,93.8,300841,2023-04-12
2023-04-13,2023-04-13 00:00:00,94.34,99.31,2586799.0,101.17,93.32,262905023.0,4.88,5.17,2.82,94.43,300841,2023-04-13
2023-04-14,2023-04-14 00:00:00,99.07,97.86,1606405.0,100.42,96.58,163445322.0,-1.45,-1.46,1.75,99.31,300841,2023-04-14
2023-04-17,2023-04-17 00:00:00,97.56,97.26,767987.0,98.47,96.74,77367842.0,-0.6,-0.61,0.84,97.86,300841,2023-04-17
2023-04-18,2023-04-18 00:00:00,96.61,95.48,1062601.0,97.14,94.39,105032538.0,-1.78,-1.83,1.16,97.26,300841,2023-04-18
2023-04-19,2023-04-19 00:00:00,94.85,92.36,1506825.0,95.47,91.38,144694644.0,-3.12,-3.27,1.64,95.48,300841,2023-04-19
2023-04-20,2023-04-20 00:00:00,92.41,90.45,725006.0,92.7,90.16,68496432.0,-1.91,-2.07,0.79,92.36,300841,2023-04-20
2023-04-21,2023-04-21 00:00:00,90.17,87.56,1084596.0,91.63,87.56,100218674.0,-2.89,-3.2,1.18,90.45,300841,2023-04-21
2023-04-24,2023-04-24 00:00:00,87.56,85.81,894874.0,88.56,85.34,80505574.0,-1.75,-2.0,0.98,87.56,300841,2023-04-24
2023-04-25,2023-04-25 00:00:00,84.9,82.76,2061921.0,86.54,81.06,177749566.0,-3.05,-3.55,2.25,85.81,300841,2023-04-25
2023-04-26,2023-04-26 00:00:00,82.54,83.75,953975.0,84.09,82.16,82766485.0,0.99,1.2,1.04,82.76,300841,2023-04-26
2023-04-27,2023-04-27 00:00:00,83.72,82.36,1270149.0,83.79,80.38,108368723.0,-1.39,-1.66,1.39,83.75,300841,2023-04-27
2023-04-28,2023-04-28 00:00:00,81.58,82.82,698424.0,83.06,81.46,59895144.0,0.46,0.56,0.76,82.36,300841,2023-04-28
