trade_date_str,trade_time,open,close,volume,high,low,amount,change,change_pct,turnover_ratio,pre_close,stock_code,trade_date
2023-02-13,2023-02-13 00:00:00,4.35,4.65,89513307.0,4.8,4.31,443283130.0,0.31,7.14,8.47,4.34,000680,2023-02-13
2023-02-14,2023-02-14 00:00:00,4.65,4.62,46747263.0,4.67,4.57,231908579.0,-0.03,-0.65,4.42,4.65,000680,2023-02-14
2023-02-15,2023-02-15 00:00:00,4.64,4.52,33061429.0,4.64,4.51,161846591.0,-0.1,-2.16,3.13,4.62,000680,2023-02-15
2023-02-16,2023-02-16 00:00:00,4.52,4.39,34210567.0,4.57,4.35,164785328.0,-0.13,-2.88,3.24,4.52,000680,2023-02-16
2023-02-17,2023-02-17 00:00:00,4.38,4.42,24096113.0,4.47,4.38,114933911.0,0.03,0.68,2.28,4.39,000680,2023-02-17
2023-02-20,2023-02-20 00:00:00,4.42,4.65,73052821.0,4.67,4.41,362394912.0,0.23,5.2,6.91,4.42,000680,2023-02-20
2023-02-21,2023-02-21 00:00:00,4.62,4.59,40488023.0,4.64,4.54,199562307.0,-0.06,-1.29,3.83,4.65,000680,2023-02-21
2023-02-22,2023-02-22 00:00:00,4.55,4.6,30738352.0,4.65,4.54,152553756.0,0.01,0.22,2.91,4.59,000680,2023-02-22
2023-02-23,2023-02-23 00:00:00,4.61,4.58,21233569.0,4.64,4.52,104535113.0,-0.02,-0.43,2.01,4.6,000680,2023-02-23
2023-02-24,2023-02-24 00:00:00,4.59,4.57,15972234.0,4.6,4.52,78304483.0,-0.01,-0.22,1.51,4.58,000680,2023-02-24
2023-02-27,2023-02-27 00:00:00,4.53,4.53,17687394.0,4.61,4.51,86676201.0,-0.04,-0.88,1.67,4.57,000680,2023-02-27
2023-02-28,2023-02-28 00:00:00,4.52,4.56,16156177.0,4.56,4.49,78780507.0,0.03,0.66,1.53,4.53,000680,2023-02-28
2023-03-01,2023-03-01 00:00:00,4.57,4.62,34717955.0,4.69,4.54,172887317.0,0.06,1.32,3.28,4.56,000680,2023-03-01
2023-03-02,2023-03-02 00:00:00,4.62,4.64,27824781.0,4.69,4.6,138887618.0,0.02,0.43,2.63,4.62,000680,2023-03-02
2023-03-03,2023-03-03 00:00:00,4.64,4.65,22722888.0,4.69,4.61,113547200.0,0.01,0.22,2.15,4.64,000680,2023-03-03
2023-03-06,2023-03-06 00:00:00,4.65,4.63,34137056.0,4.7,4.59,170517779.0,-0.02,-0.43,3.23,4.65,000680,2023-03-06
2023-03-07,2023-03-07 00:00:00,4.62,4.47,31705196.0,4.63,4.47,154959739.0,-0.16,-3.46,3.0,4.63,000680,2023-03-07
